dx,acc_ratio,P_MPa,P_err_MPa,E_Jmol,E_err_Jmol,Lbox
0.1,86.1706,76.72643961344922,24.095306564973388,-5517.174894286307,219.03015765520018,29.96387732565768
0.25555555555555554,69.1268,16.780158755549664,1.5091431707534226,-5940.800459500042,8.245887500267111,29.96387732565768
0.4111111111111111,54.188199999999995,12.240171748833717,0.7853777185988545,-5966.7934405423375,4.892793955782359,29.96387732565768
0.5666666666666667,41.9406,10.302990013537075,0.6898525153651031,-5979.3759533637085,4.755954045342775,29.96387732565768
0.7222222222222222,32.3104,12.7799216817177,0.6818587813800315,-5970.560422573215,4.8473946057430455,29.96387732565768
0.8777777777777778,25.433,10.472898530770724,0.7489614364566846,-5974.027779607471,4.94211976243415,29.96387732565768
1.0333333333333334,19.8248,12.562110592298065,0.6830913804233204,-5966.265683025849,4.594441668998844,29.96387732565768
1.188888888888889,15.7308,10.994693698792304,0.6470275086688424,-5976.618219460624,4.600842321397962,29.96387732565768
1.3444444444444446,12.6436,11.633252773093513,0.7397083716223911,-5971.926758963916,5.4133102038280185,29.96387732565768
1.5,10.2118,11.331416387857233,0.7537468323055873,-5977.629834218298,5.075334172742273,29.96387732565768
