delta,acc_ratio,P_MPa,P_unc_MPa,E_Jmol,E_unc_Jmol,Lbox
0.0,100.0,699.1137881187049,1.0449154939412087e-14,286516.7325961709,4.252565390638312e-12,74.94738970664392
4.166666666666667,91.1848,1.9884518377790483,0.007683084637610373,-142.9099035665908,2.604888231205898,74.94738970664392
8.333333333333334,89.14760000000001,1.990859918382868,0.008353455790806211,-145.4855569151472,2.514238364675511,74.94738970664392
12.5,88.7166,1.9886711956649203,0.007637088994843641,-142.1158385650378,2.567863483414404,74.94738970664392
16.666666666666668,88.45880000000001,1.9932714578163755,0.008457759924109088,-142.01455842005197,2.6781776091662413,74.94738970664392
20.833333333333336,88.3886,1.988233784467043,0.007565846391750931,-143.94302396025358,2.625148179529067,74.94738970664392
25.0,88.4162,1.9945385628361367,0.007903275560779735,-143.34275031279418,2.7699455541436353,74.94738970664392
29.166666666666668,88.41560000000001,1.9861259131626363,0.007440925096152592,-142.28176503482362,2.5228910238869915,74.94738970664392
33.333333333333336,88.3728,1.9877768803025475,0.007816148001509657,-143.23098899107367,2.7667231973721482,74.94738970664392
37.5,88.397,1.9830494560978102,0.007215679999065725,-144.49085094663,2.446263977613975,74.94738970664392
