Step    T(K)      KE(kJ)        PE(kJ)       TotE(kJ)
   830    135.790  6.14754e+02 -2.17974e+03 -1.56499e+03
   840    137.126  6.20802e+02 -2.18579e+03 -1.56499e+03
   850    138.432  6.26714e+02 -2.19169e+03 -1.56497e+03
   860    139.691  6.32411e+02 -2.19722e+03 -1.56481e+03
   870    140.775  6.37320e+02 -2.20173e+03 -1.56441e+03
   880    141.304  6.39713e+02 -2.20402e+03 -1.56431e+03
   890    140.891  6.37847e+02 -2.20224e+03 -1.56439e+03
   900    139.491  6.31505e+02 -2.19578e+03 -1.56427e+03
   910    137.547  6.22704e+02 -2.18671e+03 -1.56401e+03
   920    135.874  6.15133e+02 -2.17910e+03 -1.56396e+03
   930    135.197  6.12069e+02 -2.17595e+03 -1.56388e+03
   940    135.748  6.14561e+02 -2.17863e+03 -1.56407e+03
   950    137.250  6.21361e+02 -2.18543e+03 -1.56407e+03
   960    139.066  6.29585e+02 -2.19343e+03 -1.56385e+03
   970    140.423  6.35725e+02 -2.19964e+03 -1.56391e+03
   980    140.721  6.37074e+02 -2.20088e+03 -1.56381e+03
   990    139.777  6.32801e+02 -2.19631e+03 -1.56351e+03
  1000    137.924  6.24415e+02 -2.18772e+03 -1.56331e+03
  1010    135.904  6.15269e+02 -2.17831e+03 -1.56304e+03
  1020    134.406  6.08487e+02 -2.17125e+03 -1.56276e+03
  1030    133.594  6.04808e+02 -2.16721e+03 -1.56240e+03
  1040    133.138  6.02743e+02 -2.16500e+03 -1.56226e+03
  1050    132.672  6.00636e+02 -2.16280e+03 -1.56216e+03
  1060    132.123  5.98152e+02 -2.16023e+03 -1.56208e+03
  1070    131.683  5.96159e+02 -2.15816e+03 -1.56200e+03
  1080    131.552  5.95567e+02 -2.15753e+03 -1.56196e+03
  1090    131.719  5.96322e+02 -2.15802e+03 -1.56170e+03
  1100    131.970  5.97459e+02 -2.15890e+03 -1.56144e+03
  1110    132.149  5.98267e+02 -2.15993e+03 -1.56166e+03
  1120    132.330  5.99090e+02 -2.16043e+03 -1.56134e+03
  1130    132.661  6.00588e+02 -2.16184e+03 -1.56126e+03
  1140    133.097  6.02560e+02 -2.16350e+03 -1.56094e+03
  1150    133.369  6.03789e+02 -2.16477e+03 -1.56098e+03
  1160    133.198  6.03020e+02 -2.16412e+03 -1.56110e+03
  1170    132.513  5.99916e+02 -2.16081e+03 -1.56090e+03
  1180    131.459  5.95147e+02 -2.15580e+03 -1.56065e+03
  1190    130.240  5.89625e+02 -2.15014e+03 -1.56051e+03
  1200    128.931  5.83701e+02 -2.14418e+03 -1.56047e+03
  1210    127.466  5.77069e+02 -2.13748e+03 -1.56041e+03
  1220    125.770  5.69387e+02 -2.12948e+03 -1.56009e+03
  1230    123.922  5.61022e+02 -2.12105e+03 -1.56003e+03
  1240    122.166  5.53072e+02 -2.11318e+03 -1.56011e+03
  1250    120.712  5.46492e+02 -2.10666e+03 -1.56017e+03
  1260    119.629  5.41585e+02 -2.10168e+03 -1.56009e+03
  1270    118.903  5.38301e+02 -2.09823e+03 -1.55993e+03
  1280    118.518  5.36557e+02 -2.09645e+03 -1.55989e+03
  1290    118.441  5.36211e+02 -2.09570e+03 -1.55949e+03
  1300    118.615  5.36998e+02 -2.09667e+03 -1.55967e+03
  1310    118.974  5.38621e+02 -2.09783e+03 -1.55921e+03
  1320    119.466  5.40849e+02 -2.10002e+03 -1.55917e+03
  1330    120.043  5.43460e+02 -2.10269e+03 -1.55923e+03
  1340    120.657  5.46240e+02 -2.10545e+03 -1.55921e+03
  1350    121.273  5.49030e+02 -2.10832e+03 -1.55929e+03
  1360    121.888  5.51814e+02 -2.11094e+03 -1.55913e+03
  1370    122.507  5.54615e+02 -2.11342e+03 -1.55881e+03
  1380    123.095  5.57279e+02 -2.11590e+03 -1.55863e+03
  1390    123.587  5.59506e+02 -2.11797e+03 -1.55847e+03
  1400    123.976  5.61267e+02 -2.11993e+03 -1.55867e+03
  1410    124.351  5.62966e+02 -2.12149e+03 -1.55853e+03
  1420    124.821  5.65092e+02 -2.12342e+03 -1.55832e+03
  1430    125.433  5.67864e+02 -2.12629e+03 -1.55842e+03
  1440    126.159  5.71150e+02 -2.12961e+03 -1.55846e+03
  1450    126.884  5.74433e+02 -2.13294e+03 -1.55851e+03
  1460    127.436  5.76932e+02 -2.13546e+03 -1.55853e+03
  1470    127.679  5.78031e+02 -2.13646e+03 -1.55843e+03
  1480    127.583  5.77599e+02 -2.13590e+03 -1.55830e+03
