Step    T(K)    KE(kJ)    PE(kJ)    TotE(kJ)    P(MPa)
     0      0.205  9.25736e-01 -1.73049e+03 -1.72957e+03  1.90249e+02
    10      0.556  2.51108e+00 -1.73207e+03 -1.72955e+03  1.89937e+02
    20      1.436  6.48183e+00 -1.73596e+03 -1.72948e+03  1.89156e+02
    30      2.801  1.26452e+01 -1.74188e+03 -1.72923e+03  1.87947e+02
    40      4.598  2.07587e+01 -1.74939e+03 -1.72863e+03  1.86371e+02
    50      6.778  3.05993e+01 -1.75805e+03 -1.72745e+03  1.84494e+02
    60      9.308  4.20255e+01 -1.76746e+03 -1.72543e+03  1.82380e+02
    70     12.186  5.50190e+01 -1.77730e+03 -1.72228e+03  1.80088e+02
    80     15.439  6.97028e+01 -1.78734e+03 -1.71764e+03  1.77665e+02
    90     19.124  8.63406e+01 -1.79745e+03 -1.71111e+03  1.75150e+02
   100     23.330  1.05327e+02 -1.80756e+03 -1.70223e+03  1.72576e+02
   110     28.170  1.27179e+02 -1.81762e+03 -1.69044e+03  1.69976e+02
   120     33.785  1.52530e+02 -1.82758e+03 -1.67505e+03  1.67381e+02
   130     40.343  1.82138e+02 -1.83739e+03 -1.65526e+03  1.64832e+02
   140     48.043  2.16903e+02 -1.84697e+03 -1.63006e+03  1.62372e+02
   150     57.120  2.57881e+02 -1.85617e+03 -1.59829e+03  1.60061e+02
   160     67.848  3.06315e+02 -1.86485e+03 -1.55853e+03  1.57968e+02
   170     80.548  3.63656e+02 -1.87276e+03 -1.50911e+03  1.56178e+02
   180     95.594  4.31585e+02 -1.87967e+03 -1.44808e+03  1.54794e+02
   190    113.412  5.12027e+02 -1.88524e+03 -1.37321e+03  1.53937e+02
   200    134.481  6.07150e+02 -1.88916e+03 -1.28201e+03  1.53742e+02
   210    159.328  7.19326e+02 -1.89108e+03 -1.17175e+03  1.54358e+02
   220    188.499  8.51028e+02 -1.89067e+03 -1.03964e+03  1.55943e+02
   230    222.518  1.00461e+03 -1.88761e+03 -8.83002e+02  1.58651e+02
   240    261.795  1.18194e+03 -1.88161e+03 -6.99664e+02  1.62626e+02
   250    306.492  1.38374e+03 -1.87222e+03 -4.88485e+02  1.67988e+02
   260    356.301  1.60861e+03 -1.85872e+03 -2.50111e+02  1.74819e+02
   270    410.168  1.85181e+03 -1.83969e+03  1.21167e+01  1.83162e+02
   280    466.045  2.10408e+03 -1.81284e+03  2.91243e+02  1.92979e+02
   290    521.112  2.35269e+03 -1.77647e+03  5.76227e+02  2.03985e+02
   300    572.847  2.58626e+03 -1.73375e+03  8.52514e+02  2.15256e+02
   310    619.443  2.79663e+03 -1.69305e+03  1.10358e+03  2.25277e+02
   320    658.505  2.97299e+03 -1.66062e+03  1.31236e+03  2.32686e+02
   330    687.794  3.10522e+03 -1.64241e+03  1.46281e+03  2.36233e+02
   340    705.407  3.18474e+03 -1.64274e+03  1.54200e+03  2.35027e+02
   350    708.219  3.19743e+03 -1.65550e+03  1.54194e+03  2.29414e+02
   360    693.619  3.13152e+03 -1.66979e+03  1.46173e+03  2.20510e+02
   370    662.055  2.98901e+03 -1.68011e+03  1.30890e+03  2.09274e+02
   380    616.907  2.78518e+03 -1.68690e+03  1.09829e+03  1.96365e+02
   390    562.865  2.54120e+03 -1.69247e+03  8.48726e+02  1.82378e+02
   400    504.590  2.27810e+03 -1.69871e+03  5.79394e+02  1.67927e+02
   410    446.055  2.01383e+03 -1.70683e+03  3.06996e+02  1.53562e+02
   420    390.209  1.76170e+03 -1.71746e+03  4.42432e+01  1.39717e+02
   430    338.818  1.52968e+03 -1.73010e+03 -2.00420e+02  1.26747e+02
   440    292.562  1.32084e+03 -1.74304e+03 -4.22196e+02  1.14968e+02
   450    251.535  1.13562e+03 -1.75461e+03 -6.18988e+02  1.04568e+02
   460    216.027  9.75307e+02 -1.76608e+03 -7.90774e+02  9.53668e+01
   470    186.392  8.41515e+02 -1.78085e+03 -9.39339e+02  8.69203e+01
   480    162.182  7.32213e+02 -1.79972e+03 -1.06751e+03  7.89820e+01
   490    142.852  6.44943e+02 -1.82332e+03 -1.17837e+03  7.13350e+01
   500    127.518  5.75714e+02 -1.85068e+03 -1.27497e+03  6.39390e+01
   510    114.542  5.17128e+02 -1.87667e+03 -1.35954e+03  5.71782e+01
   520    102.971  4.64888e+02 -1.89834e+03 -1.43345e+03  5.12708e+01
   530     93.133  4.20474e+02 -1.91836e+03 -1.49788e+03  4.59136e+01
   540     85.561  3.86285e+02 -1.94072e+03 -1.55443e+03  4.06646e+01
   550     79.981  3.61094e+02 -1.96580e+03 -1.60470e+03  3.54159e+01
   560     75.733  3.41916e+02 -1.99183e+03 -1.64991e+03  3.02908e+01
   570     72.303  3.26432e+02 -2.01726e+03 -1.69082e+03  2.54188e+01
   580     69.335  3.13031e+02 -2.04097e+03 -1.72794e+03  2.09013e+01
   590     66.612  3.00735e+02 -2.06230e+03 -1.76156e+03  1.67996e+01
   600     64.062  2.89223e+02 -2.08113e+03 -1.79191e+03  1.31171e+01
   610     61.729  2.78693e+02 -2.09788e+03 -1.81919e+03  9.80383e+00
   620     59.712  2.69587e+02 -2.11321e+03 -1.84362e+03  6.77922e+00
   630     58.100  2.62306e+02 -2.12776e+03 -1.86546e+03  3.96256e+00
   640     56.933  2.57038e+02 -2.14197e+03 -1.88493e+03  1.29499e+00
   650     56.204  2.53745e+02 -2.15600e+03 -1.90225e+03 -1.25467e+00
   660     55.880  2.52284e+02 -2.16988e+03 -1.91760e+03 -3.69889e+00
   670     55.944  2.52571e+02 -2.18366e+03 -1.93109e+03 -6.04700e+00
   680     56.401  2.54635e+02 -2.19744e+03 -1.94281e+03 -8.31150e+00
   690     57.254  2.58488e+02 -2.21131e+03 -1.95282e+03 -1.04961e+01
   700     58.464  2.63951e+02 -2.22510e+03 -1.96115e+03 -1.25791e+01
   710     59.946  2.70641e+02 -2.23842e+03 -1.96778e+03 -1.45123e+01
   720     61.600  2.78109e+02 -2.25078e+03 -1.97267e+03 -1.62361e+01
   730     63.341  2.85970e+02 -2.26171e+03 -1.97574e+03 -1.76948e+01
   740     65.115  2.93977e+02 -2.27088e+03 -1.97691e+03 -1.88472e+01
   750     66.902  3.02045e+02 -2.27814e+03 -1.97610e+03 -1.96711e+01
   760     68.720  3.10252e+02 -2.28348e+03 -1.97322e+03 -2.01642e+01
   770     70.616  3.18813e+02 -2.28702e+03 -1.96821e+03 -2.03411e+01
   780     72.663  3.28057e+02 -2.28901e+03 -1.96095e+03 -2.02301e+01
   790     74.960  3.38426e+02 -2.28978e+03 -1.95135e+03 -1.98703e+01
   800     77.636  3.50505e+02 -2.28979e+03 -1.93928e+03 -1.93118e+01
   810     80.851  3.65021e+02 -2.28957e+03 -1.92455e+03 -1.86104e+01
   820     84.768  3.82705e+02 -2.28964e+03 -1.90693e+03 -1.78110e+01
   830     89.488  4.04018e+02 -2.29014e+03 -1.88613e+03 -1.69181e+01
   840     95.005  4.28924e+02 -2.29072e+03 -1.86179e+03 -1.58764e+01
   850    101.217  4.56971e+02 -2.29055e+03 -1.83358e+03 -1.45845e+01
   860    108.011  4.87643e+02 -2.28881e+03 -1.80116e+03 -1.29336e+01
   870    115.325  5.20665e+02 -2.28490e+03 -1.76424e+03 -1.08402e+01
   880    123.159  5.56033e+02 -2.27856e+03 -1.72253e+03 -8.25035e+00
   890    131.529  5.93821e+02 -2.26959e+03 -1.67577e+03 -5.12212e+00
   900    140.435  6.34027e+02 -2.25776e+03 -1.62373e+03 -1.41282e+00
   910    149.871  6.76629e+02 -2.24286e+03 -1.56623e+03  2.91309e+00
   920    159.833  7.21608e+02 -2.22474e+03 -1.50313e+03  7.87912e+00
   930    170.274  7.68746e+02 -2.20312e+03 -1.43438e+03  1.35094e+01
   940    181.160  8.17891e+02 -2.17788e+03 -1.35999e+03  1.97971e+01
   950    192.762  8.70274e+02 -2.15034e+03 -1.28007e+03  2.65907e+01
   960    205.796  9.29117e+02 -2.12370e+03 -1.19458e+03  3.35681e+01
   970    220.813  9.96918e+02 -2.10028e+03 -1.10336e+03  4.05025e+01
   980    237.541  1.07244e+03 -2.07884e+03 -1.00641e+03  4.75049e+01
   990    255.178  1.15207e+03 -2.05630e+03 -9.04235e+02  5.48486e+01
  1000    273.071  1.23285e+03 -2.03081e+03 -7.97964e+02  6.26694e+01
  1010    291.049  1.31401e+03 -2.00314e+03 -6.89123e+02  7.08425e+01
  1020    309.016  1.39513e+03 -1.97463e+03 -5.79498e+02  7.91766e+01
  1030    326.288  1.47311e+03 -1.94432e+03 -4.71210e+02  8.76769e+01
  1040    341.667  1.54254e+03 -1.90936e+03 -3.66823e+02  9.64902e+01
  1050    354.680  1.60129e+03 -1.87041e+03 -2.69113e+02  1.05406e+02
  1060    366.924  1.65657e+03 -1.83706e+03 -1.80492e+02  1.13400e+02
  1070    379.309  1.71249e+03 -1.81538e+03 -1.02891e+02  1.19818e+02
  1080    389.752  1.75963e+03 -1.79804e+03 -3.84081e+01  1.25242e+02
  1090    396.406  1.78967e+03 -1.77894e+03  1.07307e+01  1.30146e+02
  1100    400.398  1.80770e+03 -1.76481e+03  4.28868e+01  1.33850e+02
  1110    402.675  1.81798e+03 -1.76083e+03  5.71492e+01  1.35832e+02
  1120    401.132  1.81101e+03 -1.75792e+03  5.30889e+01  1.36878e+02
  1130    394.532  1.78121e+03 -1.75015e+03  3.10681e+01  1.37514e+02
  1140    383.906  1.73324e+03 -1.74076e+03 -7.51458e+00  1.37459e+02
  1150    370.457  1.67252e+03 -1.73305e+03 -6.05297e+01  1.36457e+02
  1160    354.838  1.60201e+03 -1.72741e+03 -1.25403e+02  1.34543e+02
  1170    339.378  1.53221e+03 -1.73179e+03 -1.99581e+02  1.31091e+02
  1180    325.179  1.46811e+03 -1.74917e+03 -2.81066e+02  1.25921e+02
  1190    310.558  1.40209e+03 -1.77012e+03 -3.68024e+02  1.20004e+02
  1200    294.791  1.33091e+03 -1.78925e+03 -4.58338e+02  1.13959e+02
  1210    279.450  1.26165e+03 -1.81175e+03 -5.50105e+02  1.07433e+02
  1220    265.445  1.19842e+03 -1.84049e+03 -6.42076e+02  1.00252e+02
  1230    251.831  1.13696e+03 -1.87020e+03 -7.33245e+02  9.29870e+01
  1240    237.281  1.07127e+03 -1.89359e+03 -8.22322e+02  8.64046e+01
  1250    221.675  1.00081e+03 -1.90862e+03 -9.07809e+02  8.07810e+01
  1260    206.043  9.30233e+02 -1.91871e+03 -9.88477e+02  7.58480e+01
  1270    191.698  8.65470e+02 -1.92920e+03 -1.06373e+03  7.11141e+01
  1280    179.398  8.09938e+02 -1.94352e+03 -1.13358e+03  6.62316e+01
  1290    169.076  7.63336e+02 -1.96171e+03 -1.19837e+03  6.11603e+01
  1300    160.374  7.24048e+02 -1.98253e+03 -1.25849e+03  5.59921e+01
  1310    152.994  6.90732e+02 -2.00500e+03 -1.31427e+03  5.08143e+01
  1320    146.522  6.61512e+02 -2.02752e+03 -1.36601e+03  4.57827e+01
  1330    140.346  6.33629e+02 -2.04748e+03 -1.41385e+03  4.11547e+01
  1340    134.025  6.05091e+02 -2.06285e+03 -1.45775e+03  3.71288e+01
  1350    127.689  5.76485e+02 -2.07415e+03 -1.49767e+03  3.36524e+01
  1360    121.997  5.50786e+02 -2.08447e+03 -1.53369e+03  3.04189e+01
  1370    117.636  5.31098e+02 -2.09723e+03 -1.56613e+03  2.70787e+01
  1380    114.792  5.18257e+02 -2.11370e+03 -1.59544e+03  2.34892e+01
  1390    113.037  5.10334e+02 -2.13233e+03 -1.62200e+03  1.97913e+01
  1400    111.694  5.04271e+02 -2.15026e+03 -1.64599e+03  1.62677e+01
  1410    110.264  4.97816e+02 -2.16529e+03 -1.66747e+03  1.31502e+01
  1420    108.557  4.90107e+02 -2.17654e+03 -1.68643e+03  1.05419e+01
  1430    106.623  4.81375e+02 -2.18422e+03 -1.70285e+03  8.43115e+00
  1440    104.693  4.72663e+02 -2.18940e+03 -1.71674e+03  6.71334e+00
  1450    103.102  4.65482e+02 -2.19363e+03 -1.72815e+03  5.22824e+00
  1460    102.121  4.61053e+02 -2.19823e+03 -1.73717e+03  3.83798e+00
  1470    101.834  4.59755e+02 -2.20364e+03 -1.74388e+03  2.48792e+00
  1480    102.178  4.61307e+02 -2.20964e+03 -1.74833e+03  1.19531e+00
