Step    T(K)    KE(kJ)    PE(kJ)    TotE(kJ)    P(MPa)
   770    358.094  1.62117e+03 -1.54783e+03  7.33356e+01  1.63539e+02
   780    340.664  1.54226e+03 -1.54919e+03 -6.92739e+00  1.58756e+02
   790    323.039  1.46247e+03 -1.55066e+03 -8.81864e+01  1.54004e+02
   800    305.487  1.38301e+03 -1.55239e+03 -1.69384e+02  1.49303e+02
   810    288.237  1.30491e+03 -1.55441e+03 -2.49500e+02  1.44674e+02
   820    271.481  1.22906e+03 -1.55703e+03 -3.27976e+02  1.40115e+02
   830    255.358  1.15606e+03 -1.56045e+03 -4.04388e+02  1.35628e+02
   840    239.962  1.08636e+03 -1.56444e+03 -4.78079e+02  1.31241e+02
   850    225.343  1.02018e+03 -1.56910e+03 -5.48920e+02  1.26958e+02
   860    211.523  9.57613e+02 -1.57408e+03 -6.16470e+02  1.22811e+02
   870    198.500  8.98656e+02 -1.57984e+03 -6.81189e+02  1.18780e+02
   880    186.261  8.43243e+02 -1.58582e+03 -7.42574e+02  1.14904e+02
   890    174.782  7.91275e+02 -1.59163e+03 -8.00354e+02  1.11209e+02
   900    164.039  7.42641e+02 -1.59782e+03 -8.55182e+02  1.07661e+02
   910    154.007  6.97224e+02 -1.60395e+03 -9.06723e+02  1.04285e+02
   920    144.657  6.54894e+02 -1.61008e+03 -9.55186e+02  1.01071e+02
   930    135.959  6.15518e+02 -1.61610e+03 -1.00059e+03  9.80211e+01
   940    127.884  5.78961e+02 -1.62223e+03 -1.04327e+03  9.51135e+01
   950    120.403  5.45093e+02 -1.62838e+03 -1.08329e+03  9.23438e+01
   960    113.489  5.13791e+02 -1.63423e+03 -1.12044e+03  8.97227e+01
   970    107.117  4.84943e+02 -1.64033e+03 -1.15538e+03  8.72053e+01
   980    101.265  4.58448e+02 -1.64656e+03 -1.18812e+03  8.47869e+01
   990     95.911  4.34213e+02 -1.65292e+03 -1.21871e+03  8.24568e+01
  1000     91.039  4.12155e+02 -1.65944e+03 -1.24729e+03  8.02016e+01
  1010     86.630  3.92195e+02 -1.66638e+03 -1.27419e+03  7.79928e+01
  1020     82.667  3.74252e+02 -1.67368e+03 -1.29942e+03  7.58239e+01
  1030     79.131  3.58243e+02 -1.68118e+03 -1.32294e+03  7.36934e+01
  1040     76.000  3.44069e+02 -1.68934e+03 -1.34527e+03  7.15657e+01
  1050     73.250  3.31620e+02 -1.69794e+03 -1.36632e+03  6.94457e+01
  1060     70.853  3.20766e+02 -1.70692e+03 -1.38616e+03  6.73320e+01
  1070     68.777  3.11370e+02 -1.71631e+03 -1.40494e+03  6.52182e+01
  1080     66.994  3.03295e+02 -1.72603e+03 -1.42274e+03  6.31064e+01
  1090     65.473  2.96411e+02 -1.73625e+03 -1.43984e+03  6.09833e+01
  1100     64.189  2.90599e+02 -1.74667e+03 -1.45607e+03  5.88659e+01
  1110     63.120  2.85759e+02 -1.75760e+03 -1.47184e+03  5.67339e+01
  1120     62.247  2.81808e+02 -1.76830e+03 -1.48650e+03  5.46308e+01
  1130     61.553  2.78666e+02 -1.77946e+03 -1.50080e+03  5.25142e+01
  1140     61.023  2.76264e+02 -1.79074e+03 -1.51447e+03  5.04048e+01
  1150     60.642  2.74538e+02 -1.80231e+03 -1.52778e+03  4.82903e+01
  1160     60.395  2.73423e+02 -1.81398e+03 -1.54056e+03  4.61842e+01
  1170     60.270  2.72854e+02 -1.82574e+03 -1.55288e+03  4.40880e+01
  1180     60.251  2.72769e+02 -1.83761e+03 -1.56484e+03  4.20002e+01
  1190     60.327  2.73113e+02 -1.84964e+03 -1.57653e+03  3.99192e+01
  1200     60.486  2.73832e+02 -1.86163e+03 -1.58780e+03  3.78596e+01
  1210     60.718  2.74883e+02 -1.87333e+03 -1.59845e+03  3.58366e+01
  1220     61.015  2.76229e+02 -1.88485e+03 -1.60862e+03  3.38457e+01
  1230     61.372  2.77844e+02 -1.89635e+03 -1.61851e+03  3.18766e+01
  1240     61.783  2.79707e+02 -1.90786e+03 -1.62815e+03  2.99299e+01
  1250     62.247  2.81808e+02 -1.91920e+03 -1.63739e+03  2.80165e+01
  1260     62.762  2.84138e+02 -1.93032e+03 -1.64618e+03  2.61398e+01
  1270     63.326  2.86692e+02 -1.94135e+03 -1.65466e+03  2.42929e+01
  1280     63.940  2.89473e+02 -1.95245e+03 -1.66298e+03  2.24665e+01
  1290     64.605  2.92480e+02 -1.96326e+03 -1.67078e+03  2.06830e+01
  1300     65.319  2.95713e+02 -1.97411e+03 -1.67839e+03  1.89233e+01
  1310     66.083  2.99171e+02 -1.98476e+03 -1.68559e+03  1.72020e+01
  1320     66.894  3.02846e+02 -1.99525e+03 -1.69241e+03  1.55185e+01
  1330     67.750  3.06718e+02 -2.00575e+03 -1.69903e+03  1.38645e+01
  1340     68.643  3.10763e+02 -2.01614e+03 -1.70537e+03  1.22489e+01
  1350     69.567  3.14945e+02 -2.02620e+03 -1.71126e+03  1.06878e+01
  1360     70.511  3.19218e+02 -2.03601e+03 -1.71679e+03  9.17967e+00
