Step    T(K)    KE(kJ)    PE(kJ)    TotE(kJ)    P(MPa)
     0      0.404  1.82394e+00 -1.73049e+03 -1.72866e+03  1.90288e+02
    10      0.739  3.33451e+00 -1.73198e+03 -1.72865e+03  1.89990e+02
    20      1.592  7.18808e+00 -1.73575e+03 -1.72856e+03  1.89229e+02
    30      2.927  1.32131e+01 -1.74151e+03 -1.72829e+03  1.88044e+02
    40      4.695  2.11949e+01 -1.74887e+03 -1.72767e+03  1.86490e+02
    50      6.853  3.09389e+01 -1.75741e+03 -1.72647e+03  1.84633e+02
    60      9.375  4.23279e+01 -1.76675e+03 -1.72442e+03  1.82533e+02
    70     12.262  5.53608e+01 -1.77657e+03 -1.72121e+03  1.80250e+02
    80     15.543  7.01711e+01 -1.78665e+03 -1.71648e+03  1.77830e+02
    90     19.277  8.70316e+01 -1.79684e+03 -1.70981e+03  1.75317e+02
   100     23.557  1.06353e+02 -1.80703e+03 -1.70068e+03  1.72747e+02
   110     28.504  1.28686e+02 -1.81716e+03 -1.68848e+03  1.70155e+02
   120     34.273  1.54734e+02 -1.82719e+03 -1.67245e+03  1.67576e+02
   130     41.059  1.85372e+02 -1.83704e+03 -1.65167e+03  1.65053e+02
   140     49.103  2.21686e+02 -1.84667e+03 -1.62498e+03  1.62636e+02
   150     58.700  2.65017e+02 -1.85596e+03 -1.59095e+03  1.60387e+02
   160     70.218  3.17016e+02 -1.86478e+03 -1.54777e+03  1.58385e+02
   170     84.106  3.79717e+02 -1.87294e+03 -1.49322e+03  1.56736e+02
   180    100.920  4.55627e+02 -1.88017e+03 -1.42454e+03  1.55568e+02
   190    121.346  5.47849e+02 -1.88615e+03 -1.33830e+03  1.55048e+02
   200    146.236  6.60217e+02 -1.89052e+03 -1.23030e+03  1.55381e+02
   210    176.637  7.97472e+02 -1.89287e+03 -1.09539e+03  1.56814e+02
   220    213.835  9.65414e+02 -1.89277e+03 -9.27357e+02  1.59648e+02
   230    259.375  1.17101e+03 -1.88980e+03 -7.18791e+02  1.64234e+02
   240    315.043  1.42234e+03 -1.88345e+03 -4.61110e+02  1.70992e+02
   250    382.775  1.72813e+03 -1.87290e+03 -1.44769e+02  1.80416e+02
   260    464.404  2.09667e+03 -1.85658e+03  2.40092e+02  1.93093e+02
   270    561.216  2.53375e+03 -1.83142e+03  7.02335e+02  2.09707e+02
   280    673.578  3.04104e+03 -1.79332e+03  1.24771e+03  2.30884e+02
   290    801.478  3.61848e+03 -1.74199e+03  1.87649e+03  2.56620e+02
   300    945.060  4.26671e+03 -1.68528e+03  2.58143e+03  2.85780e+02
   310   1103.887  4.98378e+03 -1.63835e+03  3.34543e+03  3.16095e+02
   320   1275.936  5.76053e+03 -1.62207e+03  4.13847e+03  3.44314e+02
   330   1451.058  6.55117e+03 -1.63800e+03  4.91316e+03  3.68403e+02
   340   1609.739  7.26758e+03 -1.66530e+03  5.60227e+03  3.87748e+02
   350   1730.679  7.81359e+03 -1.68613e+03  6.12746e+03  4.01117e+02
   360   1798.044  8.11772e+03 -1.69932e+03  6.41841e+03  4.06088e+02
   370   1803.867  8.14401e+03 -1.71167e+03  6.43235e+03  4.00643e+02
   380   1745.464  7.88034e+03 -1.71440e+03  6.16594e+03  3.85866e+02
