Step    T(K)    KE(kJ)    PE(kJ)    TotE(kJ)    P(MPa)
   770     44.254  4.13946e+02 -4.40587e+03 -3.99192e+03 -1.74728e+01
   780     46.612  4.35994e+02 -4.42835e+03 -3.99236e+03 -1.89055e+01
   790     49.105  4.59321e+02 -4.44908e+03 -3.98976e+03 -2.01562e+01
   800     51.742  4.83979e+02 -4.46791e+03 -3.98393e+03 -2.12092e+01
   810     54.532  5.10080e+02 -4.48394e+03 -3.97386e+03 -2.20273e+01
   820     57.495  5.37791e+02 -4.49791e+03 -3.96012e+03 -2.26234e+01
   830     60.653  5.67337e+02 -4.50942e+03 -3.94208e+03 -2.29753e+01
   840     64.038  5.99000e+02 -4.51868e+03 -3.91968e+03 -2.30812e+01
   850     67.684  6.33104e+02 -4.52543e+03 -3.89232e+03 -2.29234e+01
   860     71.627  6.69987e+02 -4.52974e+03 -3.85975e+03 -2.24942e+01
   870     75.896  7.09916e+02 -4.53162e+03 -3.82170e+03 -2.17806e+01
   880     80.506  7.53034e+02 -4.53100e+03 -3.77797e+03 -2.07650e+01
   890     85.457  7.99342e+02 -4.52689e+03 -3.72755e+03 -1.93998e+01
   900     90.742  8.48777e+02 -4.51924e+03 -3.67047e+03 -1.76652e+01
   910     96.353  9.01263e+02 -4.50797e+03 -3.60671e+03 -1.55428e+01
   920    102.287  9.56765e+02 -4.49218e+03 -3.53541e+03 -1.29953e+01
   930    108.562  1.01547e+03 -4.47227e+03 -3.45681e+03 -1.00324e+01
   940    115.240  1.07793e+03 -4.44814e+03 -3.37021e+03 -6.65924e+00
   950    122.438  1.14526e+03 -4.42131e+03 -3.27605e+03 -2.94346e+00
   960    130.329  1.21907e+03 -4.39278e+03 -3.17371e+03  1.05493e+00
   970    139.100  1.30111e+03 -4.36345e+03 -3.06234e+03  5.27895e+00
   980    148.882  1.39261e+03 -4.33565e+03 -2.94303e+03  9.63917e+00
   990    159.705  1.49384e+03 -4.30910e+03 -2.81526e+03  1.41407e+01
  1000    171.459  1.60378e+03 -4.28244e+03 -2.67865e+03  1.88374e+01
  1010    183.911  1.72027e+03 -4.25505e+03 -2.53478e+03  2.37691e+01
  1020    196.738  1.84025e+03 -4.22459e+03 -2.38434e+03  2.90237e+01
  1030    209.495  1.95957e+03 -4.18897e+03 -2.22939e+03  3.46740e+01
  1040    221.694  2.07368e+03 -4.14726e+03 -2.07358e+03  4.07281e+01
  1050    233.184  2.18115e+03 -4.10045e+03 -1.91930e+03  4.70607e+01
  1060    244.152  2.28374e+03 -4.05333e+03 -1.76959e+03  5.33705e+01
  1070    254.314  2.37880e+03 -4.00633e+03 -1.62753e+03  5.95428e+01
  1080    262.867  2.45880e+03 -3.95577e+03 -1.49697e+03  6.56473e+01
  1090    269.171  2.51777e+03 -3.89948e+03 -1.38172e+03  7.16853e+01
  1100    272.996  2.55354e+03 -3.83777e+03 -1.28422e+03  7.75373e+01
  1110    274.554  2.56811e+03 -3.77436e+03 -1.20625e+03  8.29375e+01
  1120    274.653  2.56904e+03 -3.71902e+03 -1.14998e+03  8.73927e+01
  1130    274.277  2.56553e+03 -3.68042e+03 -1.11489e+03  9.04579e+01
  1140    273.556  2.55878e+03 -3.66007e+03 -1.10129e+03  9.20516e+01
  1150    272.018  2.54439e+03 -3.65305e+03 -1.10866e+03  9.23989e+01
  1160    269.465  2.52052e+03 -3.65644e+03 -1.13592e+03  9.16641e+01
  1170    265.437  2.48284e+03 -3.66606e+03 -1.18322e+03  9.01089e+01
  1180    259.454  2.42687e+03 -3.67553e+03 -1.24866e+03  8.80810e+01
  1190    251.720  2.35453e+03 -3.68372e+03 -1.32919e+03  8.56913e+01
  1200    242.956  2.27256e+03 -3.69574e+03 -1.42319e+03  8.27925e+01
  1210    233.775  2.18667e+03 -3.71456e+03 -1.52788e+03  7.93085e+01
  1220    224.477  2.09970e+03 -3.73995e+03 -1.64024e+03  7.52955e+01
  1230    215.181  2.01275e+03 -3.77114e+03 -1.75838e+03  7.08515e+01
  1240    205.947  1.92638e+03 -3.80604e+03 -1.87966e+03  6.61256e+01
  1250    196.599  1.83894e+03 -3.84217e+03 -2.00323e+03  6.13126e+01
  1260    186.807  1.74735e+03 -3.87372e+03 -2.12636e+03  5.67266e+01
  1270    176.522  1.65115e+03 -3.89800e+03 -2.24685e+03  5.25391e+01
  1280    166.106  1.55372e+03 -3.91697e+03 -2.36325e+03  4.87021e+01
  1290    156.162  1.46070e+03 -3.93515e+03 -2.47445e+03  4.50253e+01
  1300    147.173  1.37663e+03 -3.95634e+03 -2.57972e+03  4.13298e+01
  1310    139.230  1.30232e+03 -3.98118e+03 -2.67886e+03  3.75705e+01
  1320    132.256  1.23709e+03 -4.00909e+03 -2.77200e+03  3.37636e+01
  1330    126.169  1.18016e+03 -4.03925e+03 -2.85909e+03  2.99393e+01
  1340    120.786  1.12980e+03 -4.07078e+03 -2.94098e+03  2.61495e+01
  1350    115.871  1.08383e+03 -4.10084e+03 -3.01700e+03  2.25173e+01
  1360    111.312  1.04119e+03 -4.12865e+03 -3.08746e+03  1.90890e+01
  1370    107.152  1.00228e+03 -4.15471e+03 -3.15244e+03  1.58505e+01
  1380    103.457  9.67708e+02 -4.18040e+03 -3.21269e+03  1.27543e+01
  1390    100.175  9.37013e+02 -4.20443e+03 -3.26742e+03  9.84603e+00
  1400     97.174  9.08947e+02 -4.22698e+03 -3.31803e+03  7.14052e+00
  1410     94.385  8.82853e+02 -4.24666e+03 -3.36381e+03  4.68811e+00
  1420     91.850  8.59146e+02 -4.26459e+03 -3.40544e+03  2.44745e+00
  1430     89.645  8.38518e+02 -4.28153e+03 -3.44301e+03  3.79875e-01
  1440     87.775  8.21031e+02 -4.29688e+03 -3.47585e+03 -1.50375e+00
  1450     86.172  8.06037e+02 -4.31030e+03 -3.50426e+03 -3.18857e+00
  1460     84.765  7.92873e+02 -4.32206e+03 -3.52919e+03 -4.67896e+00
  1470     83.561  7.81607e+02 -4.33152e+03 -3.54991e+03 -5.96368e+00
  1480     82.662  7.73204e+02 -4.34006e+03 -3.56686e+03 -7.10864e+00
  1490     82.213  7.69000e+02 -4.34904e+03 -3.58004e+03 -8.18399e+00
  1500     82.308  7.69886e+02 -4.36029e+03 -3.59040e+03 -9.26488e+00
  1510     82.946  7.75858e+02 -4.37326e+03 -3.59740e+03 -1.03361e+01
  1520     84.038  7.86075e+02 -4.38683e+03 -3.60076e+03 -1.13448e+01
  1530     85.440  7.99182e+02 -4.40007e+03 -3.60089e+03 -1.22300e+01
  1540     86.996  8.13744e+02 -4.41126e+03 -3.59751e+03 -1.29034e+01
  1550     88.597  8.28716e+02 -4.41949e+03 -3.59077e+03 -1.33093e+01
  1560     90.207  8.43779e+02 -4.42397e+03 -3.58020e+03 -1.34104e+01
  1570     91.874  8.59372e+02 -4.42529e+03 -3.56592e+03 -1.32268e+01
  1580     93.679  8.76251e+02 -4.42410e+03 -3.54785e+03 -1.27904e+01
  1590     95.677  8.94944e+02 -4.42097e+03 -3.52603e+03 -1.21292e+01
  1600     97.883  9.15573e+02 -4.41646e+03 -3.50088e+03 -1.12655e+01
  1610    100.298  9.38167e+02 -4.41005e+03 -3.47189e+03 -1.01889e+01
  1620    102.953  9.62998e+02 -4.40171e+03 -3.43871e+03 -8.90720e+00
  1630    105.921  9.90764e+02 -4.39218e+03 -3.40142e+03 -7.45890e+00
  1640    109.310  1.02246e+03 -4.38270e+03 -3.36024e+03 -5.90090e+00
  1650    113.215  1.05899e+03 -4.37370e+03 -3.31472e+03 -4.26333e+00
  1660    117.672  1.10067e+03 -4.36556e+03 -3.26488e+03 -2.56250e+00
  1670    122.648  1.14722e+03 -4.35757e+03 -3.21035e+03 -7.71369e-01
