Step    T(K)    KE(kJ)    PE(kJ)    TotE(kJ)    P(MPa)
   680      6.660  3.00672e+01 -1.58151e-01  2.99090e+01  5.46475e-03
   690      5.221  2.35725e+01 -1.58380e-01  2.34141e+01  4.27488e-03
   700      4.134  1.86634e+01 -1.58583e-01  1.85048e+01  3.37549e-03
   710      3.305  1.49232e+01 -1.58767e-01  1.47644e+01  2.69026e-03
   720      2.669  1.20513e+01 -1.58931e-01  1.18924e+01  2.16409e-03
   730      2.177  9.82912e+00 -1.59080e-01  9.67004e+00  1.75695e-03
   740      1.793  8.09676e+00 -1.59214e-01  7.93754e+00  1.43955e-03
   750      1.492  6.73642e+00 -1.59338e-01  6.57709e+00  1.19031e-03
   760      1.254  5.66075e+00 -1.59450e-01  5.50130e+00  9.93217e-04
   770      1.064  4.80450e+00 -1.59554e-01  4.64494e+00  8.36326e-04
   780      0.912  4.11864e+00 -1.59650e-01  3.95899e+00  7.10653e-04
   790      0.790  3.56611e+00 -1.59740e-01  3.40637e+00  6.09407e-04
   800      0.691  3.11869e+00 -1.59823e-01  2.95887e+00  5.27417e-04
   810      0.610  2.75478e+00 -1.59902e-01  2.59488e+00  4.60729e-04
   820      0.544  2.45777e+00 -1.59977e-01  2.29779e+00  4.06297e-04
   830      0.491  2.21480e+00 -1.60049e-01  2.05475e+00  3.61766e-04
   840      0.447  2.01590e+00 -1.60116e-01  1.85578e+00  3.25309e-04
   850      0.410  1.85329e+00 -1.60181e-01  1.69311e+00  2.95502e-04
   860      0.381  1.72092e+00 -1.60244e-01  1.56068e+00  2.71235e-04
   870      0.358  1.61406e+00 -1.60304e-01  1.45376e+00  2.51642e-04
   880      0.339  1.52905e+00 -1.60362e-01  1.36869e+00  2.36052e-04
   890      0.324  1.46307e+00 -1.60419e-01  1.30265e+00  2.23950e-04
   900      0.313  1.41401e+00 -1.60475e-01  1.25353e+00  2.14946e-04
   910      0.306  1.38032e+00 -1.60530e-01  1.21979e+00  2.08760e-04
   920      0.301  1.36098e+00 -1.60584e-01  1.20040e+00  2.05202e-04
   930      0.300  1.35540e+00 -1.60639e-01  1.19476e+00  2.04164e-04
   940      0.302  1.36340e+00 -1.60694e-01  1.20271e+00  2.05616e-04
   950      0.307  1.38524e+00 -1.60749e-01  1.22449e+00  2.09600e-04
   960      0.315  1.42156e+00 -1.60805e-01  1.26076e+00  2.16240e-04
   970      0.326  1.47350e+00 -1.60861e-01  1.31264e+00  2.25739e-04
   980      0.342  1.54268e+00 -1.60919e-01  1.38177e+00  2.38397e-04
   990      0.361  1.63134e+00 -1.60978e-01  1.47036e+00  2.54623e-04
  1000      0.386  1.74243e+00 -1.61039e-01  1.58139e+00  2.74956e-04
  1010      0.416  1.87977e+00 -1.61104e-01  1.71866e+00  3.00099e-04
  1020      0.454  2.04830e+00 -1.61170e-01  1.88713e+00  3.30956e-04
  1030      0.499  2.25437e+00 -1.61240e-01  2.09313e+00  3.68687e-04
  1040      0.555  2.50607e+00 -1.61312e-01  2.34476e+00  4.14779e-04
  1050      0.623  2.81385e+00 -1.61390e-01  2.65246e+00  4.71142e-04
  1060      0.707  3.19114e+00 -1.61473e-01  3.02967e+00  5.40237e-04
  1070      0.810  3.65533e+00 -1.61561e-01  3.49377e+00  6.25251e-04
  1080      0.937  4.22905e+00 -1.61657e-01  4.06739e+00  7.30327e-04
  1090      1.095  4.94186e+00 -1.61760e-01  4.78010e+00  8.60884e-04
  1100      1.292  5.83269e+00 -1.61871e-01  5.67082e+00  1.02405e-03
  1110      1.540  6.95304e+00 -1.61992e-01  6.79105e+00  1.22926e-03
  1120      1.854  8.37153e+00 -1.62127e-01  8.20940e+00  1.48909e-03
  1130      2.255  1.01802e+01 -1.62274e-01  1.00179e+01  1.82038e-03
  1140      2.769  1.25031e+01 -1.62438e-01  1.23407e+01  2.24589e-03
  1150      3.435  1.55091e+01 -1.62621e-01  1.53465e+01  2.79653e-03
  1160      4.303  1.94291e+01 -1.62826e-01  1.92663e+01  3.51461e-03
  1170      5.445  2.45812e+01 -1.63059e-01  2.44181e+01  4.45838e-03
