Step    T(K)    KE(kJ)    PE(kJ)    TotE(kJ)    P(MPa)
     0      0.203  9.19133e-01 -1.63103e+03 -1.63011e+03  1.97242e+02
    10      0.539  2.43842e+00 -1.63254e+03 -1.63010e+03  1.96945e+02
    20      1.413  6.39890e+00 -1.63643e+03 -1.63003e+03  1.96171e+02
    30      2.789  1.26251e+01 -1.64241e+03 -1.62978e+03  1.94962e+02
    40      4.615  2.08941e+01 -1.65007e+03 -1.62918e+03  1.93374e+02
    50      6.847  3.09996e+01 -1.65899e+03 -1.62799e+03  1.91473e+02
    60      9.456  4.28113e+01 -1.66875e+03 -1.62594e+03  1.89324e+02
    70     12.440  5.63170e+01 -1.67891e+03 -1.62260e+03  1.86994e+02
    80     15.825  7.16424e+01 -1.68918e+03 -1.61753e+03  1.84535e+02
    90     19.673  8.90629e+01 -1.69910e+03 -1.61004e+03  1.82008e+02
   100     24.071  1.08974e+02 -1.70844e+03 -1.59946e+03  1.79459e+02
   110     29.144  1.31941e+02 -1.71398e+03 -1.58204e+03  1.77116e+02
   120     35.041  1.58640e+02 -1.72178e+03 -1.56314e+03  1.74642e+02
   130     41.925  1.89803e+02 -1.73201e+03 -1.54221e+03  1.72061e+02
   140     49.998  2.26354e+02 -1.74101e+03 -1.51465e+03  1.69640e+02
   150     59.511  2.69420e+02 -1.74837e+03 -1.47895e+03  1.67457e+02
   160     70.749  3.20295e+02 -1.75611e+03 -1.43581e+03  1.65451e+02
   170     84.043  3.80482e+02 -1.76236e+03 -1.38188e+03  1.63810e+02
   180     99.784  4.51745e+02 -1.76635e+03 -1.31461e+03  1.62673e+02
   190    118.409  5.36062e+02 -1.76924e+03 -1.23318e+03  1.62073e+02
   200    140.398  6.35612e+02 -1.77053e+03 -1.13492e+03  1.62158e+02
   210    166.272  7.52749e+02 -1.76941e+03 -1.01666e+03  1.63109e+02
   220    196.556  8.89855e+02 -1.76604e+03 -8.76181e+02  1.65052e+02
   230    231.727  1.04908e+03 -1.76046e+03 -7.11380e+02  1.68119e+02
   240    272.114  1.23192e+03 -1.75143e+03 -5.19508e+02  1.72503e+02
   250    317.748  1.43852e+03 -1.73801e+03 -2.99495e+02  1.78340e+02
   260    368.137  1.66664e+03 -1.72081e+03 -5.41662e+01  1.85614e+02
   270    421.976  1.91038e+03 -1.69842e+03  2.11961e+02  1.94332e+02
   280    476.990  2.15944e+03 -1.66750e+03  4.91935e+02  2.04474e+02
   290    530.347  2.40100e+03 -1.62577e+03  7.75229e+02  2.15722e+02
   300    579.687  2.62437e+03 -1.57863e+03  1.04575e+03  2.26949e+02
   310    623.258  2.82163e+03 -1.53748e+03  1.28414e+03  2.36438e+02
   320    659.159  2.98416e+03 -1.50821e+03  1.47595e+03  2.42827e+02
   330    685.718  3.10440e+03 -1.49738e+03  1.60702e+03  2.44870e+02
   340    700.497  3.17131e+03 -1.50540e+03  1.66590e+03  2.42126e+02
   350    699.789  3.16810e+03 -1.52140e+03  1.64671e+03  2.35459e+02
   360    681.400  3.08485e+03 -1.53498e+03  1.54987e+03  2.26040e+02
   370    646.614  2.92737e+03 -1.54272e+03  1.38465e+03  2.14702e+02
   380    599.305  2.71319e+03 -1.54633e+03  1.16686e+03  2.02007e+02
   390    544.308  2.46420e+03 -1.54885e+03  9.15358e+02  1.88467e+02
   400    486.226  2.20125e+03 -1.55296e+03  6.48295e+02  1.74587e+02
   410    428.764  1.94111e+03 -1.55931e+03  3.81806e+02  1.60895e+02
   420    374.433  1.69514e+03 -1.56772e+03  1.27421e+02  1.47839e+02
   430    324.555  1.46934e+03 -1.57753e+03 -1.08191e+02  1.35777e+02
   440    279.709  1.26631e+03 -1.58636e+03 -3.20053e+02  1.25026e+02
   450    240.387  1.08829e+03 -1.59575e+03 -5.07463e+02  1.15483e+02
   460    206.873  9.36560e+02 -1.60731e+03 -6.70748e+02  1.06916e+02
   470    178.459  8.07922e+02 -1.61980e+03 -8.11882e+02  9.93180e+01
   480    153.906  6.96767e+02 -1.62943e+03 -9.32667e+02  9.28973e+01
   490    132.523  5.99959e+02 -1.63536e+03 -1.03540e+03  8.76021e+01
   500    114.823  5.19831e+02 -1.64216e+03 -1.12233e+03  8.28472e+01
   510    102.087  4.62170e+02 -1.65857e+03 -1.19640e+03  7.76444e+01
   520     94.029  4.25688e+02 -1.68687e+03 -1.26118e+03  7.16192e+01
