Step    T(K)    KE(kJ)    PE(kJ)    TotE(kJ)    P(MPa)
     0      0.402  1.82078e+00 -1.63103e+03 -1.62921e+03  1.97280e+02
    10      0.722  3.27007e+00 -1.63246e+03 -1.62919e+03  1.96992e+02
    20      1.571  7.11360e+00 -1.63622e+03 -1.62911e+03  1.96234e+02
    30      2.916  1.32014e+01 -1.64204e+03 -1.62884e+03  1.95043e+02
    40      4.715  2.13437e+01 -1.64956e+03 -1.62822e+03  1.93473e+02
    50      6.929  3.13685e+01 -1.65837e+03 -1.62700e+03  1.91586e+02
    60      9.537  4.31745e+01 -1.66809e+03 -1.62492e+03  1.89443e+02
    70     12.540  5.67698e+01 -1.67831e+03 -1.62154e+03  1.87110e+02
    80     15.968  7.22909e+01 -1.68881e+03 -1.61652e+03  1.84636e+02
    90     19.884  9.00184e+01 -1.69864e+03 -1.60862e+03  1.82114e+02
   100     24.378  1.10366e+02 -1.70780e+03 -1.59744e+03  1.79578e+02
   110     29.582  1.33925e+02 -1.71385e+03 -1.57993e+03  1.77212e+02
   120     35.656  1.61421e+02 -1.72191e+03 -1.56049e+03  1.74739e+02
   130     42.790  1.93720e+02 -1.73173e+03 -1.53801e+03  1.72213e+02
   140     51.232  2.31937e+02 -1.74053e+03 -1.50859e+03  1.69853e+02
   150     61.293  2.77488e+02 -1.74834e+03 -1.47085e+03  1.67717e+02
   160     73.359  3.32113e+02 -1.75528e+03 -1.42316e+03  1.65873e+02
   170     87.902  3.97953e+02 -1.76098e+03 -1.36303e+03  1.64438e+02
   180    105.506  4.77649e+02 -1.76529e+03 -1.28764e+03  1.63544e+02
   190    126.883  5.74430e+02 -1.76848e+03 -1.19405e+03  1.63324e+02
   200    152.910  6.92259e+02 -1.76987e+03 -1.07761e+03  1.64011e+02
   210    184.659  8.35993e+02 -1.76919e+03 -9.33201e+02  1.65854e+02
   220    223.432  1.01153e+03 -1.76600e+03 -7.54473e+02  1.69163e+02
   230    270.779  1.22588e+03 -1.75943e+03 -5.33556e+02  1.74328e+02
   240    328.462  1.48702e+03 -1.74876e+03 -2.61735e+02  1.81788e+02
   250    398.331  1.80333e+03 -1.73380e+03  6.95307e+01  1.92003e+02
   260    482.028  2.18225e+03 -1.71267e+03  4.69581e+02  2.05574e+02
   270    580.507  2.62809e+03 -1.68130e+03  9.46784e+02  2.23214e+02
   280    693.959  3.14171e+03 -1.63557e+03  1.50613e+03  2.45454e+02
   290    823.213  3.72687e+03 -1.58140e+03  2.14547e+03  2.71667e+02
   300    969.761  4.39033e+03 -1.53396e+03  2.85637e+03  3.00047e+02
   310   1130.883  5.11976e+03 -1.49986e+03  3.61990e+03  3.29126e+02
   320   1300.024  5.88550e+03 -1.48244e+03  4.40306e+03  3.57109e+02
   330   1466.834  6.64069e+03 -1.48654e+03  5.15415e+03  3.81485e+02
   340   1615.259  7.31264e+03 -1.50740e+03  5.80524e+03  4.00109e+02
   350   1726.550  7.81648e+03 -1.53363e+03  6.28285e+03  4.11255e+02
   360   1784.259  8.07774e+03 -1.55668e+03  6.52106e+03  4.13486e+02
   370   1779.154  8.05463e+03 -1.56980e+03  6.48483e+03  4.06329e+02
   380   1707.337  7.72950e+03 -1.55189e+03  6.17761e+03  3.92254e+02
   390   1573.682  7.12441e+03 -1.47709e+03  5.64732e+03  3.75556e+02
   400   1415.926  6.41022e+03 -1.44502e+03  4.96520e+03  3.50395e+02
   410   1222.355  5.53388e+03 -1.32299e+03  4.21089e+03  3.31659e+02
   420   1025.088  4.64080e+03 -1.17109e+03  3.46971e+03  3.16546e+02
   430    895.142  4.05251e+03 -1.28864e+03  2.76387e+03  2.79076e+02
   440    754.127  3.41410e+03 -1.30270e+03  2.11141e+03  2.52786e+02
   450    624.501  2.82726e+03 -1.28734e+03  1.53991e+03  2.32444e+02
   460    511.702  2.31659e+03 -1.26262e+03  1.05397e+03  2.16115e+02
   470    424.871  1.92349e+03 -1.27396e+03  6.49525e+02  1.99116e+02
   480    377.967  1.71114e+03 -1.41071e+03  3.00435e+02  1.72339e+02
   490    337.259  1.52685e+03 -1.53790e+03 -1.10491e+01  1.47524e+02
   500    289.699  1.31153e+03 -1.59350e+03 -2.81967e+02  1.30975e+02
   510    244.485  1.10684e+03 -1.61532e+03 -5.08480e+02  1.19464e+02
   520    209.990  9.50673e+02 -1.64768e+03 -6.97008e+02  1.08571e+02
   530    184.318  8.34448e+02 -1.69123e+03 -8.56780e+02  9.77288e+01
   540    163.408  7.39783e+02 -1.73350e+03 -9.93719e+02  8.77916e+01
   550    146.212  6.61937e+02 -1.77282e+03 -1.11089e+03  7.87496e+01
   560    131.876  5.97033e+02 -1.80946e+03 -1.21243e+03  7.05003e+01
   570    119.874  5.42697e+02 -1.84297e+03 -1.30027e+03  6.29930e+01
   580    110.029  4.98126e+02 -1.87527e+03 -1.37714e+03  5.60062e+01
   590    101.919  4.61410e+02 -1.90586e+03 -1.44445e+03  4.95146e+01
   600     95.162  4.30820e+02 -1.93462e+03 -1.50380e+03  4.34908e+01
   610     89.563  4.05471e+02 -1.96173e+03 -1.55626e+03  3.78848e+01
   620     84.932  3.84505e+02 -1.98727e+03 -1.60276e+03  3.26719e+01
   630     81.027  3.66828e+02 -2.01088e+03 -1.64405e+03  2.78751e+01
   640     77.572  3.51187e+02 -2.03169e+03 -1.68050e+03  2.35686e+01
   650     74.315  3.36443e+02 -2.04882e+03 -1.71238e+03  1.98263e+01
   660     71.134  3.22040e+02 -2.06254e+03 -1.74050e+03  1.66313e+01
   670     68.088  3.08249e+02 -2.07303e+03 -1.76478e+03  1.39380e+01
   680     65.382  2.95999e+02 -2.08157e+03 -1.78557e+03  1.16020e+01
   690     63.266  2.86419e+02 -2.08973e+03 -1.80331e+03  9.45145e+00
   700     61.899  2.80231e+02 -2.09843e+03 -1.81820e+03  7.36862e+00
   710     61.276  2.77411e+02 -2.10762e+03 -1.83021e+03  5.32978e+00
   720     61.275  2.77407e+02 -2.11738e+03 -1.83998e+03  3.33404e+00
   730     61.755  2.79578e+02 -2.12674e+03 -1.84716e+03  1.45887e+00
   740     62.609  2.83447e+02 -2.13567e+03 -1.85222e+03 -2.75070e-01
   750     63.789  2.88788e+02 -2.14390e+03 -1.85511e+03 -1.83566e+00
   760     65.301  2.95632e+02 -2.15118e+03 -1.85555e+03 -3.20046e+00
   770     67.209  3.04269e+02 -2.15759e+03 -1.85332e+03 -4.37558e+00
   780     69.616  3.15167e+02 -2.16392e+03 -1.84875e+03 -5.41248e+00
   790     72.629  3.28806e+02 -2.16984e+03 -1.84103e+03 -6.28931e+00
   800     76.317  3.45503e+02 -2.17576e+03 -1.83026e+03 -7.01494e+00
   810     80.686  3.65284e+02 -2.18141e+03 -1.81613e+03 -7.53675e+00
   820     85.673  3.87861e+02 -2.18603e+03 -1.79817e+03 -7.75324e+00
   830     91.174  4.12764e+02 -2.18871e+03 -1.77594e+03 -7.54271e+00
   840     97.089  4.39545e+02 -2.18843e+03 -1.74889e+03 -6.77637e+00
   850    103.371  4.67983e+02 -2.18471e+03 -1.71673e+03 -5.36743e+00
   860    110.047  4.98206e+02 -2.17697e+03 -1.67876e+03 -3.24167e+00
   870    117.242  5.30782e+02 -2.16525e+03 -1.63447e+03 -3.80598e-01
   880    125.201  5.66814e+02 -2.15067e+03 -1.58386e+03  3.15115e+00
   890    134.324  6.08115e+02 -2.13357e+03 -1.52546e+03  7.31740e+00
   900    145.213  6.57414e+02 -2.11577e+03 -1.45835e+03  1.19833e+01
   910    158.649  7.18239e+02 -2.09931e+03 -1.38107e+03  1.70105e+01
   920    175.375  7.93962e+02 -2.08552e+03 -1.29156e+03  2.23658e+01
   930    195.664  8.85815e+02 -2.07309e+03 -1.18728e+03  2.82947e+01
   940    219.145  9.92117e+02 -2.05793e+03 -1.06581e+03  3.53226e+01
   950    245.362  1.11081e+03 -2.03606e+03 -9.25253e+02  4.39570e+01
   960    274.823  1.24419e+03 -2.00744e+03 -7.63250e+02  5.43131e+01
   970    309.320  1.40036e+03 -1.97778e+03 -5.77424e+02  6.60187e+01
   980    349.231  1.58105e+03 -1.94532e+03 -3.64271e+02  7.94026e+01
   990    393.008  1.77924e+03 -1.90108e+03 -1.21842e+02  9.54426e+01
  1000    438.826  1.98666e+03 -1.83632e+03  1.50342e+02  1.14997e+02
  1010    485.219  2.19670e+03 -1.74551e+03  4.51185e+02  1.38468e+02
  1020    532.968  2.41286e+03 -1.63588e+03  7.76984e+02  1.64994e+02
  1030    585.452  2.65047e+03 -1.52422e+03  1.12625e+03  1.92735e+02
  1040    645.471  2.92219e+03 -1.42435e+03  1.49784e+03  2.20204e+02
  1050    709.798  3.21342e+03 -1.32466e+03  1.88876e+03  2.48194e+02
  1060    776.362  3.51477e+03 -1.22339e+03  2.29138e+03  2.76494e+02
  1070    848.291  3.84040e+03 -1.14417e+03  2.69624e+03  3.02574e+02
  1080    923.237  4.17970e+03 -1.08653e+03  3.09317e+03  3.26092e+02
  1090    987.478  4.47054e+03 -1.00544e+03  3.46510e+03  3.50640e+02
  1100   1030.224  4.66406e+03 -8.72761e+02  3.79130e+03  3.77887e+02
  1110   1065.016  4.82157e+03 -7.66630e+02  4.05494e+03  3.99955e+02
  1120   1090.545  4.93714e+03 -6.92062e+02  4.24508e+03  4.15592e+02
  1130   1113.908  5.04291e+03 -6.89894e+02  4.35302e+03  4.20757e+02
  1140   1124.887  5.09262e+03 -7.20323e+02  4.37229e+03  4.18881e+02
  1150   1112.591  5.03695e+03 -7.36201e+02  4.30075e+03  4.14217e+02
  1160   1086.025  4.91668e+03 -7.74750e+02  4.14193e+03  4.03894e+02
  1170   1033.545  4.67909e+03 -7.72272e+02  3.90682e+03  3.94165e+02
  1180    977.718  4.42635e+03 -8.14619e+02  3.61173e+03  3.78091e+02
  1190    919.438  4.16250e+03 -8.91519e+02  3.27098e+03  3.57142e+02
  1200    845.102  3.82596e+03 -9.24079e+02  2.90189e+03  3.39148e+02
  1210    760.736  3.44402e+03 -9.17177e+02  2.52685e+03  3.24402e+02
  1220    681.618  3.08584e+03 -9.24655e+02  2.16118e+03  3.08416e+02
  1230    614.326  2.78119e+03 -9.69773e+02  1.81142e+03  2.89212e+02
  1240    557.653  2.52462e+03 -1.04388e+03  1.48074e+03  2.67627e+02
  1250    507.879  2.29928e+03 -1.12871e+03  1.17057e+03  2.45505e+02
  1260    463.713  2.09933e+03 -1.21769e+03  8.81641e+02  2.23708e+02
  1270    420.915  1.90558e+03 -1.29020e+03  6.15378e+02  2.04300e+02
  1280    382.246  1.73051e+03 -1.35772e+03  3.72791e+02  1.86371e+02
  1290    348.422  1.57739e+03 -1.42407e+03  1.53319e+02  1.69514e+02
  1300    318.234  1.44072e+03 -1.48654e+03 -4.58206e+01  1.53994e+02
  1310    290.233  1.31395e+03 -1.53897e+03 -2.25017e+02  1.40360e+02
  1320    262.907  1.19024e+03 -1.57435e+03 -3.84105e+02  1.29216e+02
  1330    237.456  1.07502e+03 -1.59906e+03 -5.24041e+02  1.19919e+02
  1340    216.334  9.79393e+02 -1.62602e+03 -6.46631e+02  1.11135e+02
  1350    200.145  9.06103e+02 -1.66093e+03 -7.54830e+02  1.02159e+02
  1360    187.277  8.47846e+02 -1.69919e+03 -8.51342e+02  9.32815e+01
  1370    176.612  7.99563e+02 -1.73699e+03 -9.37426e+02  8.47784e+01
  1380    168.058  7.60838e+02 -1.77524e+03 -1.01440e+03  7.65392e+01
  1390    161.285  7.30173e+02 -1.81393e+03 -1.08376e+03  6.85599e+01
  1400    155.586  7.04374e+02 -1.85056e+03 -1.14618e+03  6.10716e+01
  1410    150.420  6.80985e+02 -1.88352e+03 -1.20254e+03  5.42534e+01
  1420    145.617  6.59240e+02 -1.91183e+03 -1.25259e+03  4.81980e+01
  1430    141.220  6.39334e+02 -1.93618e+03 -1.29685e+03  4.28550e+01
  1440    137.160  6.20954e+02 -1.95731e+03 -1.33636e+03  3.81720e+01
  1450    133.324  6.03590e+02 -1.97392e+03 -1.37033e+03  3.42187e+01
  1460    129.820  5.87724e+02 -1.98723e+03 -1.39950e+03  3.08730e+01
  1470    126.925  5.74619e+02 -1.99841e+03 -1.42379e+03  2.79851e+01
  1480    124.858  5.65261e+02 -2.00898e+03 -1.44371e+03  2.53933e+01
  1490    123.654  5.59810e+02 -2.01929e+03 -1.45948e+03  2.30385e+01
  1500    123.222  5.57852e+02 -2.02931e+03 -1.47146e+03  2.09179e+01
  1510    123.462  5.58940e+02 -2.03857e+03 -1.47962e+03  1.90653e+01
  1520    124.328  5.62862e+02 -2.04664e+03 -1.48378e+03  1.75120e+01
  1530    125.801  5.69530e+02 -2.05366e+03 -1.48413e+03  1.62595e+01
  1540    127.855  5.78827e+02 -2.05967e+03 -1.48085e+03  1.53200e+01
  1550    130.418  5.90433e+02 -2.06365e+03 -1.47321e+03  1.47843e+01
  1560    133.387  6.03872e+02 -2.06542e+03 -1.46155e+03  1.46973e+01
  1570    136.700  6.18871e+02 -2.06423e+03 -1.44536e+03  1.51337e+01
  1580    140.420  6.35715e+02 -2.06049e+03 -1.42478e+03  1.60752e+01
  1590    144.727  6.55214e+02 -2.05455e+03 -1.39934e+03  1.74881e+01
  1600    149.904  6.78647e+02 -2.04767e+03 -1.36902e+03  1.92704e+01
  1610    156.370  7.07924e+02 -2.04026e+03 -1.33234e+03  2.13604e+01
  1620    164.541  7.44916e+02 -2.03516e+03 -1.29025e+03  2.35694e+01
  1630    174.507  7.90030e+02 -2.03115e+03 -1.24112e+03  2.60258e+01
  1640    186.034  8.42216e+02 -2.02641e+03 -1.18420e+03  2.89553e+01
  1650    198.852  9.00248e+02 -2.01882e+03 -1.11857e+03  3.26153e+01
  1660    212.793  9.63363e+02 -2.00709e+03 -1.04372e+03  3.71930e+01
  1670    227.814  1.03137e+03 -1.99048e+03 -9.59119e+02  4.28099e+01
  1680    244.071  1.10496e+03 -1.96895e+03 -8.63989e+02  4.95021e+01
  1690    262.031  1.18627e+03 -1.94329e+03 -7.57019e+02  5.72032e+01
  1700    282.337  1.27820e+03 -1.91645e+03 -6.38253e+02  6.56989e+01
  1710    305.335  1.38232e+03 -1.88807e+03 -5.05747e+02  7.50357e+01
  1720    330.655  1.49695e+03 -1.85605e+03 -3.59102e+02  8.54609e+01
  1730    357.550  1.61871e+03 -1.81619e+03 -1.97484e+02  9.73688e+01
  1740    385.918  1.74714e+03 -1.76856e+03 -2.14251e+01  1.10756e+02
  1750    416.311  1.88474e+03 -1.71572e+03  1.69017e+02  1.25338e+02
  1760    449.469  2.03485e+03 -1.66065e+03  3.74195e+02  1.40745e+02
  1770    486.475  2.20238e+03 -1.60914e+03  5.93248e+02  1.56384e+02
  1780    527.098  2.38629e+03 -1.56074e+03  8.25557e+02  1.72195e+02
  1790    568.644  2.57438e+03 -1.50519e+03  1.06919e+03  1.88944e+02
  1800    609.860  2.76097e+03 -1.44151e+03  1.31946e+03  2.06490e+02
  1810    654.243  2.96191e+03 -1.38837e+03  1.57353e+03  2.22840e+02
  1820    703.795  3.18624e+03 -1.35954e+03  1.82670e+03  2.36578e+02
  1830    754.572  3.41612e+03 -1.34258e+03  2.07353e+03  2.48664e+02
  1840    801.077  3.62665e+03 -1.32148e+03  2.30517e+03  2.60401e+02
  1850    839.463  3.80044e+03 -1.28812e+03  2.51232e+03  2.72310e+02
  1860    866.154  3.92127e+03 -1.23540e+03  2.68588e+03  2.84740e+02
  1870    883.970  4.00193e+03 -1.18431e+03  2.81762e+03  2.95550e+02
  1880    891.504  4.03604e+03 -1.13289e+03  2.90315e+03  3.04698e+02
  1890    884.765  4.00553e+03 -1.06633e+03  2.93920e+03  3.13303e+02
  1900    874.452  3.95884e+03 -1.03222e+03  2.92662e+03  3.16939e+02
  1910    863.174  3.90778e+03 -1.04025e+03  2.86753e+03  3.14825e+02
  1920    833.815  3.77487e+03 -1.00916e+03  2.76571e+03  3.14507e+02
  1930    794.849  3.59846e+03 -9.70437e+02  2.62803e+03  3.13512e+02
  1940    754.067  3.41383e+03 -9.51562e+02  2.46227e+03  3.09477e+02
  1950    713.973  3.23231e+03 -9.56374e+02  2.27594e+03  3.02113e+02
  1960    676.396  3.06220e+03 -9.86795e+02  2.07540e+03  2.91358e+02
  1970    634.220  2.87126e+03 -1.00573e+03  1.86553e+03  2.80752e+02
  1980    594.650  2.69212e+03 -1.03948e+03  1.65264e+03  2.68186e+02
  1990    562.501  2.54657e+03 -1.10706e+03  1.43951e+03  2.52041e+02
  2000    527.873  2.38980e+03 -1.16179e+03  1.22801e+03  2.36704e+02
  2010    495.877  2.24494e+03 -1.22227e+03  1.02267e+03  2.20697e+02
  2020    470.433  2.12975e+03 -1.30656e+03  8.23197e+02  2.02499e+02
  2030    448.680  2.03128e+03 -1.40150e+03  6.29782e+02  1.83407e+02
  2040    423.915  1.91916e+03 -1.47561e+03  4.43550e+02  1.66525e+02
  2050    395.721  1.79152e+03 -1.52366e+03  2.67864e+02  1.52594e+02
  2060    368.888  1.67004e+03 -1.56591e+03  1.04127e+02  1.39942e+02
  2070    344.852  1.56122e+03 -1.60865e+03 -4.74249e+01  1.28029e+02
  2080    321.082  1.45361e+03 -1.64051e+03 -1.86901e+02  1.17920e+02
  2090    295.801  1.33916e+03 -1.65259e+03 -3.13433e+02  1.10433e+02
  2100    272.443  1.23341e+03 -1.65965e+03 -4.26242e+02  1.04147e+02
  2110    255.437  1.15642e+03 -1.68369e+03 -5.27271e+02  9.69136e+01
  2120    241.907  1.09517e+03 -1.71405e+03 -6.18883e+02  8.95434e+01
  2130    230.209  1.04221e+03 -1.74363e+03 -7.01420e+02  8.26149e+01
  2140    220.151  9.96674e+02 -1.77210e+03 -7.75422e+02  7.61344e+01
  2150    211.117  9.55774e+02 -1.79773e+03 -8.41959e+02  7.02617e+01
  2160    202.690  9.17625e+02 -1.81871e+03 -9.01087e+02  6.51494e+01
  2170    194.908  8.82393e+02 -1.83632e+03 -9.53932e+02  6.06922e+01
  2180    188.039  8.51295e+02 -1.85139e+03 -1.00009e+03  5.67706e+01
  2190    182.295  8.25289e+02 -1.86589e+03 -1.04060e+03  5.31966e+01
  2200    177.623  8.04137e+02 -1.87947e+03 -1.07534e+03  4.99657e+01
  2210    173.790  7.86786e+02 -1.89155e+03 -1.10476e+03  4.71271e+01
  2220    170.560  7.72162e+02 -1.90185e+03 -1.12968e+03  4.47207e+01
  2230    167.841  7.59856e+02 -1.90950e+03 -1.14964e+03  4.28055e+01
  2240    165.738  7.50335e+02 -1.91508e+03 -1.16474e+03  4.13234e+01
  2250    164.404  7.44292e+02 -1.91968e+03 -1.17539e+03  4.01737e+01
  2260    163.949  7.42233e+02 -1.92365e+03 -1.18141e+03  3.93066e+01
  2270    164.536  7.44890e+02 -1.92820e+03 -1.18331e+03  3.86142e+01
  2280    166.331  7.53018e+02 -1.93348e+03 -1.18046e+03  3.80622e+01
  2290    169.287  7.66402e+02 -1.93941e+03 -1.17301e+03  3.76698e+01
  2300    173.150  7.83890e+02 -1.94527e+03 -1.16138e+03  3.75305e+01
  2310    177.773  8.04817e+02 -1.94968e+03 -1.14486e+03  3.77649e+01
  2320    183.235  8.29547e+02 -1.95295e+03 -1.12340e+03  3.83633e+01
  2330    189.577  8.58256e+02 -1.95486e+03 -1.09660e+03  3.93614e+01
  2340    196.621  8.90146e+02 -1.95465e+03 -1.06450e+03  4.08603e+01
  2350    204.125  9.24118e+02 -1.95046e+03 -1.02634e+03  4.30421e+01
  2360    211.924  9.59429e+02 -1.94102e+03 -9.81591e+02  4.60367e+01
  2370    219.932  9.95683e+02 -1.92686e+03 -9.31172e+02  4.98401e+01
  2380    228.218  1.03319e+03 -1.90754e+03 -8.74349e+02  5.44643e+01
  2390    237.419  1.07485e+03 -1.88527e+03 -8.10422e+02  5.96730e+01
  2400    248.978  1.12718e+03 -1.86644e+03 -7.39264e+02  6.48856e+01
  2410    263.886  1.19467e+03 -1.85468e+03 -6.60013e+02  6.98078e+01
  2420    281.407  1.27399e+03 -1.84525e+03 -5.71256e+02  7.49295e+01
  2430    300.494  1.36040e+03 -1.83271e+03 -4.72307e+02  8.08221e+01
  2440    320.894  1.45276e+03 -1.81600e+03 -3.63239e+02  8.76673e+01
  2450    342.277  1.54957e+03 -1.79395e+03 -2.44381e+02  9.56288e+01
  2460    363.932  1.64760e+03 -1.76259e+03 -1.14992e+02  1.05032e+02
  2470    385.667  1.74600e+03 -1.72223e+03  2.37664e+01  1.15789e+02
  2480    408.551  1.84960e+03 -1.67852e+03  1.71081e+02  1.27261e+02
  2490    434.907  1.96892e+03 -1.64170e+03  3.27228e+02  1.38375e+02
  2500    466.940  2.11394e+03 -1.62127e+03  4.92673e+02  1.48225e+02
  2510    502.321  2.27412e+03 -1.60735e+03  6.66769e+02  1.57742e+02
  2520    537.939  2.43537e+03 -1.58769e+03  8.47677e+02  1.68057e+02
  2530    572.381  2.59130e+03 -1.55927e+03  1.03203e+03  1.79446e+02
  2540    603.127  2.73049e+03 -1.51475e+03  1.21574e+03  1.92472e+02
  2550    629.132  2.84822e+03 -1.45423e+03  1.39399e+03  2.06889e+02
  2560    654.716  2.96405e+03 -1.40029e+03  1.56375e+03  2.20370e+02
  2570    679.054  3.07423e+03 -1.35321e+03  1.72103e+03  2.32680e+02
  2580    698.604  3.16274e+03 -1.30194e+03  1.86080e+03  2.44579e+02
  2590    716.661  3.24449e+03 -1.26336e+03  1.98112e+03  2.54247e+02
  2600    735.747  3.33089e+03 -1.25279e+03  2.07811e+03  2.60152e+02
  2610    752.169  3.40524e+03 -1.25567e+03  2.14957e+03  2.63567e+02
  2620    758.144  3.43229e+03 -1.23983e+03  2.19246e+03  2.67462e+02
  2630    751.627  3.40278e+03 -1.19818e+03  2.20460e+03  2.72556e+02
  2640    734.944  3.32726e+03 -1.13978e+03  2.18748e+03  2.77996e+02
  2650    712.818  3.22709e+03 -1.08421e+03  2.14288e+03  2.81971e+02
  2660    692.747  3.13622e+03 -1.06180e+03  2.07442e+03  2.81647e+02
  2670    681.015  3.08311e+03 -1.09813e+03  1.98498e+03  2.74697e+02
  2680    668.423  3.02610e+03 -1.15022e+03  1.87588e+03  2.65090e+02
  2690    647.100  2.92957e+03 -1.18029e+03  1.74927e+03  2.56497e+02
  2700    623.020  2.82055e+03 -1.21138e+03  1.60917e+03  2.47096e+02
  2710    597.852  2.70661e+03 -1.24696e+03  1.45965e+03  2.36734e+02
  2720    570.760  2.58396e+03 -1.28044e+03  1.30353e+03  2.26239e+02
  2730    542.468  2.45588e+03 -1.31187e+03  1.14401e+03  2.15806e+02
  2740    513.486  2.32467e+03 -1.34007e+03  9.84598e+02  2.05655e+02
  2750    487.100  2.20521e+03 -1.37844e+03  8.26771e+02  1.94691e+02
  2760    462.019  2.09166e+03 -1.41923e+03  6.72433e+02  1.83674e+02
  2770    434.946  1.96910e+03 -1.44612e+03  5.22983e+02  1.74214e+02
  2780    406.330  1.83955e+03 -1.45774e+03  3.81806e+02  1.66493e+02
  2790    381.290  1.72618e+03 -1.47712e+03  2.49067e+02  1.58454e+02
  2800    360.968  1.63418e+03 -1.50915e+03  1.25033e+02  1.49560e+02
  2810    342.502  1.55058e+03 -1.54149e+03  9.09030e+00  1.40928e+02
  2820    325.500  1.47361e+03 -1.57254e+03 -9.89276e+01  1.32760e+02
  2830    310.599  1.40615e+03 -1.60572e+03 -1.99571e+02  1.24784e+02
  2840    297.332  1.34609e+03 -1.63883e+03 -2.92736e+02  1.17194e+02
  2850    284.776  1.28925e+03 -1.66724e+03 -3.77998e+02  1.10395e+02
  2860    272.826  1.23514e+03 -1.69125e+03 -4.56107e+02  1.04366e+02
  2870    261.786  1.18516e+03 -1.71240e+03 -5.27233e+02  9.89324e+01
  2880    251.727  1.13963e+03 -1.73093e+03 -5.91301e+02  9.40121e+01
  2890    243.164  1.10086e+03 -1.75020e+03 -6.49343e+02  8.92835e+01
  2900    236.580  1.07105e+03 -1.77239e+03 -7.01339e+02  8.45162e+01
  2910    231.197  1.04668e+03 -1.79423e+03 -7.47548e+02  8.00094e+01
  2920    226.135  1.02376e+03 -1.81204e+03 -7.88274e+02  7.61299e+01
  2930    221.051  1.00075e+03 -1.82474e+03 -8.23991e+02  7.30123e+01
  2940    215.807  9.77009e+02 -1.83154e+03 -8.54533e+02  7.07217e+01
  2950    210.918  9.54874e+02 -1.83472e+03 -8.79848e+02  6.90218e+01
  2960    207.201  9.38048e+02 -1.83782e+03 -8.99772e+02  6.75412e+01
  2970    204.941  9.27814e+02 -1.84288e+03 -9.15071e+02  6.60767e+01
  2980    203.729  9.22328e+02 -1.84771e+03 -9.25385e+02  6.47963e+01
  2990    203.138  9.19650e+02 -1.85112e+03 -9.31465e+02  6.38241e+01
  3000    203.335  9.20543e+02 -1.85373e+03 -9.33183e+02  6.30925e+01
  3010    204.967  9.27930e+02 -1.85811e+03 -9.30178e+02  6.23520e+01
  3020    208.416  9.43546e+02 -1.86616e+03 -9.22611e+02  6.14446e+01
  3030    213.300  9.65658e+02 -1.87595e+03 -9.10291e+02  6.05748e+01
  3040    218.803  9.90569e+02 -1.88356e+03 -8.92988e+02  6.01398e+01
  3050    224.438  1.01608e+03 -1.88686e+03 -8.70784e+02  6.03715e+01
  3060    230.356  1.04288e+03 -1.88617e+03 -8.43295e+02  6.12499e+01
  3070    237.015  1.07302e+03 -1.88358e+03 -8.10562e+02  6.25869e+01
  3080    244.928  1.10884e+03 -1.88145e+03 -7.72608e+02  6.41737e+01
  3090    254.411  1.15178e+03 -1.88047e+03 -7.28694e+02  6.59486e+01
  3100    265.135  1.20033e+03 -1.87910e+03 -6.78770e+02  6.80893e+01
  3110    276.365  1.25116e+03 -1.87397e+03 -6.22806e+02  7.09434e+01
  3120    287.725  1.30260e+03 -1.86322e+03 -5.60620e+02  7.47053e+01
  3130    299.397  1.35544e+03 -1.84739e+03 -4.91952e+02  7.93274e+01
  3140    311.602  1.41069e+03 -1.82745e+03 -4.16761e+02  8.47159e+01
  3150    324.271  1.46805e+03 -1.80329e+03 -3.35242e+02  9.08575e+01
  3160    337.844  1.52950e+03 -1.77740e+03 -2.47904e+02  9.74844e+01
  3170    354.095  1.60307e+03 -1.75721e+03 -1.54137e+02  1.03863e+02
  3180    374.711  1.69640e+03 -1.74983e+03 -5.34264e+01  1.09358e+02
  3190    398.928  1.80603e+03 -1.75187e+03  5.41692e+01  1.14383e+02
  3200    423.596  1.91771e+03 -1.74795e+03  1.69761e+02  1.20405e+02
  3210    445.425  2.01654e+03 -1.72620e+03  2.90337e+02  1.28601e+02
  3220    463.107  2.09659e+03 -1.68270e+03  4.13887e+02  1.39250e+02
