Step    T(K)    KE(kJ)    PE(kJ)    TotE(kJ)    P(MPa)
     0      0.150  2.80609e+00 -9.20543e+03 -9.20263e+03 -3.75962e+00
    10      0.149  2.79407e+00 -9.20540e+03 -9.20261e+03 -3.76026e+00
    20      0.148  2.76269e+00 -9.20533e+03 -9.20257e+03 -3.76006e+00
    30      0.145  2.71674e+00 -9.20521e+03 -9.20249e+03 -3.75918e+00
    40      0.142  2.66390e+00 -9.20506e+03 -9.20240e+03 -3.75787e+00
    50      0.140  2.61466e+00 -9.20489e+03 -9.20227e+03 -3.75646e+00
    60      0.138  2.58216e+00 -9.20471e+03 -9.20213e+03 -3.75530e+00
    70      0.138  2.58197e+00 -9.20454e+03 -9.20196e+03 -3.75480e+00
    80      0.141  2.63200e+00 -9.20439e+03 -9.20176e+03 -3.75531e+00
    90      0.147  2.75228e+00 -9.20428e+03 -9.20153e+03 -3.75714e+00
   100      0.158  2.96493e+00 -9.20422e+03 -9.20125e+03 -3.76051e+00
   110      0.176  3.29421e+00 -9.20422e+03 -9.20092e+03 -3.76548e+00
   120      0.201  3.76677e+00 -9.20428e+03 -9.20051e+03 -3.77194e+00
   130      0.236  4.41215e+00 -9.20441e+03 -9.20000e+03 -3.77956e+00
   140      0.281  5.26379e+00 -9.20461e+03 -9.19934e+03 -3.78777e+00
   150      0.340  6.36052e+00 -9.20486e+03 -9.19849e+03 -3.79569e+00
   160      0.414  7.74887e+00 -9.20515e+03 -9.19740e+03 -3.80215e+00
   170      0.507  9.48656e+00 -9.20546e+03 -9.19597e+03 -3.80564e+00
   180      0.623  1.16474e+01 -9.20576e+03 -9.19411e+03 -3.80427e+00
   190      0.766  1.43286e+01 -9.20603e+03 -9.19170e+03 -3.79577e+00
   200      0.944  1.76605e+01 -9.20624e+03 -9.18858e+03 -3.77741e+00
   210      1.166  2.18214e+01 -9.20635e+03 -9.18453e+03 -3.74593e+00
   220      1.446  2.70575e+01 -9.20633e+03 -9.17927e+03 -3.69743e+00
   230      1.802  3.37118e+01 -9.20615e+03 -9.17244e+03 -3.62716e+00
   240      2.259  4.22655e+01 -9.20579e+03 -9.16352e+03 -3.52920e+00
   250      2.854  5.33969e+01 -9.20523e+03 -9.15183e+03 -3.39601e+00
   260      3.638  6.80666e+01 -9.20447e+03 -9.13641e+03 -3.21765e+00
   270      4.685  8.76411e+01 -9.20353e+03 -9.11589e+03 -2.98068e+00
   280      6.098  1.14073e+02 -9.20235e+03 -9.08828e+03 -2.66558e+00
   290      8.027  1.50166e+02 -9.20089e+03 -9.05072e+03 -2.24421e+00
   300     10.689  1.99963e+02 -9.19929e+03 -8.99933e+03 -1.68017e+00
   310     14.396  2.69319e+02 -9.19755e+03 -8.92823e+03 -9.16588e-01
   320     19.604  3.66738e+02 -9.19619e+03 -8.82945e+03  1.21292e-01
   330     26.972  5.04589e+02 -9.19528e+03 -8.69069e+03  1.55368e+00
