Step    T(K)    KE(kJ)    PE(kJ)    TotE(kJ)    P(MPa)
     0      0.153  6.91887e-01 -1.65371e+03 -1.65302e+03  1.90424e+02
    10      0.474  2.14131e+00 -1.65515e+03 -1.65301e+03  1.90137e+02
    20      1.305  5.88973e+00 -1.65883e+03 -1.65294e+03  1.89394e+02
    30      2.606  1.17658e+01 -1.66448e+03 -1.65271e+03  1.88234e+02
    40      4.330  1.95491e+01 -1.67170e+03 -1.65215e+03  1.86712e+02
    50      6.431  2.90323e+01 -1.68007e+03 -1.65104e+03  1.84893e+02
    60      8.877  4.00790e+01 -1.68920e+03 -1.64912e+03  1.82837e+02
    70     11.665  5.26659e+01 -1.69867e+03 -1.64600e+03  1.80609e+02
    80     14.819  6.69045e+01 -1.70756e+03 -1.64066e+03  1.78297e+02
    90     18.395  8.30469e+01 -1.71705e+03 -1.63400e+03  1.75861e+02
   100     22.472  1.01458e+02 -1.72441e+03 -1.62296e+03  1.73495e+02
   110     27.172  1.22676e+02 -1.72847e+03 -1.60579e+03  1.71302e+02
   120     32.618  1.47262e+02 -1.73751e+03 -1.59025e+03  1.68799e+02
   130     38.952  1.75858e+02 -1.74675e+03 -1.57089e+03  1.66312e+02
   140     46.350  2.09259e+02 -1.75493e+03 -1.54567e+03  1.63956e+02
   150     55.017  2.48389e+02 -1.76156e+03 -1.51317e+03  1.61807e+02
   160     65.181  2.94278e+02 -1.76857e+03 -1.47430e+03  1.59799e+02
   170     77.099  3.48084e+02 -1.77286e+03 -1.42477e+03  1.58186e+02
   180     91.060  4.11112e+02 -1.77547e+03 -1.36436e+03  1.56973e+02
   190    107.365  4.84726e+02 -1.77819e+03 -1.29346e+03  1.56132e+02
   200    126.324  5.70320e+02 -1.77906e+03 -1.20874e+03  1.55867e+02
   210    148.235  6.69246e+02 -1.77784e+03 -1.10859e+03  1.56279e+02
   220    173.350  7.82632e+02 -1.77461e+03 -9.91977e+02  1.57446e+02
   230    201.816  9.11148e+02 -1.76885e+03 -8.57700e+02  1.59466e+02
   240    233.592  1.05461e+03 -1.76033e+03 -7.05718e+02  1.62391e+02
   250    268.336  1.21147e+03 -1.74968e+03 -5.38212e+02  1.66174e+02
   260    305.267  1.37820e+03 -1.73488e+03 -3.56680e+02  1.70877e+02
   270    343.014  1.54862e+03 -1.71645e+03 -1.67828e+02  1.76329e+02
