Step    T(K)    KE(kJ)    PE(kJ)    TotE(kJ)    P(MPa)
     0      0.304  1.37596e+00 -1.63104e+03 -1.62966e+03  1.97260e+02
    10      0.645  2.92070e+00 -1.63257e+03 -1.62965e+03  1.96956e+02
    20      1.521  6.88633e+00 -1.63646e+03 -1.62957e+03  1.96179e+02
    30      2.897  1.31139e+01 -1.64242e+03 -1.62931e+03  1.94966e+02
    40      4.727  2.14009e+01 -1.65008e+03 -1.62868e+03  1.93374e+02
    50      6.972  3.15616e+01 -1.65903e+03 -1.62746e+03  1.91465e+02
    60      9.605  4.34831e+01 -1.66886e+03 -1.62537e+03  1.89304e+02
    70     12.627  5.71660e+01 -1.67914e+03 -1.62198e+03  1.86955e+02
    80     16.068  7.27427e+01 -1.68961e+03 -1.61687e+03  1.84473e+02
    90     19.988  9.04924e+01 -1.69956e+03 -1.60907e+03  1.81933e+02
   100     24.480  1.10827e+02 -1.70881e+03 -1.59799e+03  1.79381e+02
   110     29.672  1.34332e+02 -1.71430e+03 -1.57997e+03  1.77039e+02
   120     35.721  1.61716e+02 -1.72281e+03 -1.56110e+03  1.74525e+02
   130     42.806  1.93794e+02 -1.73280e+03 -1.53900e+03  1.71973e+02
   140     51.161  2.31619e+02 -1.74171e+03 -1.51009e+03  1.69586e+02
   150     61.077  2.76507e+02 -1.74942e+03 -1.47291e+03  1.67429e+02
   160     72.901  3.30040e+02 -1.75658e+03 -1.42654e+03  1.65533e+02
   170     87.059  3.94135e+02 -1.76228e+03 -1.36814e+03  1.64042e+02
   180    104.065  4.71126e+02 -1.76602e+03 -1.29489e+03  1.63095e+02
   190    124.535  5.63797e+02 -1.76945e+03 -1.20565e+03  1.62727e+02
   200    149.201  6.75466e+02 -1.77064e+03 -1.09517e+03  1.63216e+02
   210    178.934  8.10075e+02 -1.76956e+03 -9.59481e+02  1.64759e+02
   220    214.738  9.72168e+02 -1.76616e+03 -7.93996e+02  1.67581e+02
   230    257.732  1.16681e+03 -1.76007e+03 -5.93258e+02  1.71960e+02
   240    309.071  1.39923e+03 -1.75012e+03 -3.50893e+02  1.78244e+02
   250    369.785  1.67410e+03 -1.73626e+03 -6.21603e+01  1.86722e+02
   260    440.476  1.99413e+03 -1.71682e+03  2.77313e+02  1.97760e+02
   270    520.897  2.35822e+03 -1.68983e+03  6.68391e+02  2.11662e+02
   280    609.873  2.76103e+03 -1.65131e+03  1.10972e+03  2.28637e+02
   290    706.004  3.19624e+03 -1.60397e+03  1.59227e+03  2.48057e+02
   300    807.580  3.65610e+03 -1.55675e+03  2.09935e+03  2.68426e+02
   310    911.247  4.12542e+03 -1.51822e+03  2.60720e+03  2.87927e+02
   320   1012.551  4.58404e+03 -1.49687e+03  3.08717e+03  3.04386e+02
   330   1104.807  5.00171e+03 -1.50002e+03  3.50169e+03  3.15643e+02
   340   1177.480  5.33071e+03 -1.52018e+03  3.81054e+03  3.20854e+02
   350   1219.312  5.52010e+03 -1.54344e+03  3.97666e+03  3.20037e+02
   360   1223.234  5.53785e+03 -1.56003e+03  3.97783e+03  3.13377e+02
   370   1188.616  5.38113e+03 -1.57034e+03  3.81079e+03  3.01023e+02
   380   1120.475  5.07264e+03 -1.57590e+03  3.49674e+03  2.83795e+02
   390   1026.532  4.64734e+03 -1.57583e+03  3.07151e+03  2.63399e+02
   400    913.752  4.13676e+03 -1.55542e+03  2.58133e+03  2.42952e+02
   410    799.500  3.61952e+03 -1.54944e+03  2.07007e+03  2.21043e+02
   420    696.845  3.15477e+03 -1.58839e+03  1.56638e+03  1.96153e+02
   430    587.691  2.66061e+03 -1.56612e+03  1.09448e+03  1.78849e+02
   440    481.772  2.18109e+03 -1.50098e+03  6.80107e+02  1.68219e+02
   450    402.788  1.82351e+03 -1.49825e+03  3.25262e+02  1.54464e+02
   460    342.194  1.54919e+03 -1.52899e+03  2.01993e+01  1.39392e+02
   470    292.485  1.32415e+03 -1.56640e+03 -2.42249e+02  1.25129e+02
   480    252.297  1.14221e+03 -1.60909e+03 -4.66890e+02  1.11620e+02
   490    220.698  9.99150e+02 -1.65941e+03 -6.60259e+02  9.85390e+01
   500    195.017  8.82887e+02 -1.71118e+03 -8.28291e+02  8.63769e+01
   510    171.979  7.78589e+02 -1.75223e+03 -9.73641e+02  7.61855e+01
   520    150.942  6.83346e+02 -1.78156e+03 -1.09822e+03  6.80052e+01
   530    132.661  6.00585e+02 -1.80492e+03 -1.20434e+03  6.11906e+01
   540    117.452  5.31734e+02 -1.82651e+03 -1.29477e+03  5.51853e+01
   550    105.178  4.76162e+02 -1.84841e+03 -1.37225e+03  4.96304e+01
   560     95.731  4.33398e+02 -1.87250e+03 -1.43910e+03  4.42158e+01
   570     88.666  4.01410e+02 -1.89922e+03 -1.49781e+03  3.88193e+01
   580     83.196  3.76645e+02 -1.92624e+03 -1.54959e+03  3.36008e+01
   590     78.545  3.55591e+02 -1.95129e+03 -1.59570e+03  2.87700e+01
   600     74.272  3.36245e+02 -1.97299e+03 -1.63674e+03  2.44628e+01
   610     70.276  3.18155e+02 -1.99100e+03 -1.67285e+03  2.06991e+01
   620     66.608  3.01550e+02 -2.00606e+03 -1.70451e+03  1.74032e+01
   630     63.343  2.86769e+02 -2.01912e+03 -1.73235e+03  1.44697e+01
   640     60.566  2.74197e+02 -2.03122e+03 -1.75703e+03  1.17840e+01
   650     58.393  2.64360e+02 -2.04290e+03 -1.77854e+03  9.25809e+00
   660     56.954  2.57846e+02 -2.05520e+03 -1.79736e+03  6.77482e+00
   670     56.290  2.54838e+02 -2.06829e+03 -1.81345e+03  4.29226e+00
   680     56.279  2.54788e+02 -2.08241e+03 -1.82762e+03  1.79944e+00
   690     56.701  2.56698e+02 -2.09619e+03 -1.83949e+03 -5.86651e-01
